aluno,escolha1,escolha2
84,178,16,33
187,121,192,181
25,109,76,81
73,95,28,206
185,13,132,29
174,104,152,171
4,60,40,91
127,53,208,103
49,140,19,12
200,22,1,205
51,14,157,37
147,195,210,146
164,35,87,8
177,67,196,118
83,39,2,61
189,116,183,186
150,122,162,56
203,114,41,31
191,168,148,93
202,21,99,68
74,86,201,32
115,3,62,204
5,48,129,182
17,176,135,175
173,139,155,120
54,9,123,112
130,151,64,46
128,158,180,131
7,72,100,94
43,167,66,149
42,63,36,69
166,207,138,136
30,85,133,47
143,58,45,71
113,108,52,142
179,159,70,119
209,102,77,82
197,141,75,106
26,97,126,170
107,10,169,101
50,24,11,98
153,57,78,80
154,44,165,144
6,110,198,89
156,23,111,193
125,38,20,160
137,194,124,92
199,27,65,96
117,145,88,18
184,55,59,134
105,90,161,15
163,190,188,172
34,79
